number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
0,0.43878957629203796,0 days 00:00:08.977040,0.2,144,4,COMPLETE
1,0.4504058063030243,0 days 00:00:11.303420,0.30000000000000004,64,24,COMPLETE
2,0.45311862230300903,0 days 00:00:08.148183,0.0,96,20,COMPLETE
3,0.46732446551322937,0 days 00:00:06.592042,0.45,160,24,COMPLETE
4,0.49753668904304504,0 days 00:00:05.838495,0.25,224,24,COMPLETE
5,0.5197486877441406,0 days 00:00:08.670035,0.30000000000000004,256,16,COMPLETE
6,0.49866506457328796,0 days 00:00:07.707874,0.2,240,20,COMPLETE
7,0.5059874057769775,0 days 00:00:09.491967,0.35000000000000003,208,12,COMPLETE
8,0.42569223046302795,0 days 00:00:09.527778,0.45,32,16,COMPLETE
9,0.4404894709587097,0 days 00:00:17.400732,0.15000000000000002,16,16,COMPLETE
10,0.7970315217971802,0 days 00:00:04.628357,0.5,16,8,COMPLETE
11,0.4439794719219208,0 days 00:00:08.343758,0.1,160,4,COMPLETE
12,0.45245641469955444,0 days 00:00:11.001900,0.4,112,4,COMPLETE
13,0.4365147352218628,0 days 00:00:07.738297,0.05,64,12,COMPLETE
14,0.4381565451622009,0 days 00:00:08.679639,0.0,64,12,COMPLETE
15,0.4450841546058655,0 days 00:00:11.525492,0.1,48,12,COMPLETE
16,0.46628686785697937,0 days 00:00:11.723733,0.5,96,8,COMPLETE
17,0.4420161247253418,0 days 00:00:08.758494,0.05,48,16,COMPLETE
18,0.43603628873825073,0 days 00:00:26.303533,0.4,16,8,COMPLETE
19,0.4333449900150299,0 days 00:00:14.633625,0.4,16,8,COMPLETE
20,0.4873568117618561,0 days 00:00:06.893108,0.4,192,20,COMPLETE
21,0.4315009117126465,0 days 00:00:15.544692,0.4,16,8,COMPLETE
22,0.44190046191215515,0 days 00:00:18.223293,0.45,32,8,COMPLETE
23,0.43420904874801636,0 days 00:00:12.747415,0.35000000000000003,32,8,COMPLETE
24,0.4686599373817444,0 days 00:00:09.440199,0.45,80,16,COMPLETE
25,0.43456345796585083,0 days 00:00:10.534609,0.35000000000000003,32,12,COMPLETE
26,0.4469820261001587,0 days 00:00:14.262789,0.5,48,4,COMPLETE
27,0.46844589710235596,0 days 00:00:07.188846,0.30000000000000004,112,8,COMPLETE
28,0.45608797669410706,0 days 00:00:24.334070,0.45,16,12,COMPLETE
29,0.4460602104663849,0 days 00:00:09.600374,0.25,80,4,COMPLETE
30,0.4602130353450775,0 days 00:00:06.468112,0.4,128,16,COMPLETE
31,0.42908158898353577,0 days 00:00:12.172304,0.35000000000000003,32,8,COMPLETE
32,0.4437553286552429,0 days 00:00:10.285823,0.35000000000000003,32,8,COMPLETE
33,0.45383527874946594,0 days 00:00:09.736290,0.4,48,4,COMPLETE
34,0.4519146978855133,0 days 00:00:07.229302,0.30000000000000004,80,20,COMPLETE
35,0.7652629613876343,0 days 00:00:05.505781,0.45,16,8,COMPLETE
36,0.45527777075767517,0 days 00:00:09.439052,0.35000000000000003,64,12,COMPLETE
37,0.7316335439682007,0 days 00:00:05.274177,0.30000000000000004,32,4,COMPLETE
38,0.4457003176212311,0 days 00:00:15.616235,0.25,48,8,COMPLETE
39,0.5024410486221313,0 days 00:00:07.086035,0.5,176,24,COMPLETE
40,0.42946261167526245,0 days 00:00:10.388808,0.4,16,16,COMPLETE
41,0.43756628036499023,0 days 00:00:10.887336,0.4,16,16,COMPLETE
42,0.43654224276542664,0 days 00:00:13.258482,0.45,32,20,COMPLETE
43,0.42849308252334595,0 days 00:00:16.570146,0.35000000000000003,16,16,COMPLETE
44,0.4440150558948517,0 days 00:00:08.356006,0.30000000000000004,64,16,COMPLETE
45,0.464933842420578,0 days 00:00:08.428987,0.35000000000000003,32,16,COMPLETE
46,0.41636162996292114,0 days 00:00:13.029842,0.45,16,20,COMPLETE
47,0.44870999455451965,0 days 00:00:10.193154,0.2,48,20,COMPLETE
48,0.48636510968208313,0 days 00:00:05.579605,0.45,256,20,COMPLETE
49,0.4935782849788666,0 days 00:00:08.004700,0.5,144,20,COMPLETE
50,0.7359326481819153,0 days 00:00:03.337680,0.35000000000000003,16,24,COMPLETE
51,0.44912856817245483,0 days 00:00:09.611527,0.4,16,16,COMPLETE
52,0.4401171803474426,0 days 00:00:11.000024,0.45,32,12,COMPLETE
53,0.45234858989715576,0 days 00:00:08.605781,0.4,48,16,COMPLETE
54,0.7470126152038574,0 days 00:00:05.362696,0.45,16,16,COMPLETE
55,0.4545133113861084,0 days 00:00:07.232508,0.35000000000000003,64,12,COMPLETE
56,0.4433964490890503,0 days 00:00:11.671522,0.5,32,20,COMPLETE
57,0.43296101689338684,0 days 00:00:18.419420,0.4,16,12,COMPLETE
58,0.46518903970718384,0 days 00:00:07.709659,0.25,224,20,COMPLETE
59,0.44891729950904846,0 days 00:00:10.323876,0.45,32,24,COMPLETE
60,0.4348068833351135,0 days 00:00:08.165953,0.35000000000000003,48,16,COMPLETE
61,0.44126102328300476,0 days 00:00:20.876680,0.4,16,12,COMPLETE
62,0.41828665137290955,0 days 00:00:18.763060,0.4,16,16,COMPLETE
63,0.43666964769363403,0 days 00:00:10.900488,0.45,32,16,COMPLETE
64,0.42652180790901184,0 days 00:00:15.343060,0.4,16,16,COMPLETE
65,0.43771666288375854,0 days 00:00:24.868583,0.4,16,16,COMPLETE
66,0.43312811851501465,0 days 00:00:07.415398,0.15000000000000002,48,16,COMPLETE
67,0.44678473472595215,0 days 00:00:09.922519,0.30000000000000004,32,16,COMPLETE
68,0.4281235635280609,0 days 00:00:15.202442,0.35000000000000003,16,16,COMPLETE
69,0.4682117998600006,0 days 00:00:09.891221,0.35000000000000003,96,20,COMPLETE
70,0.43591079115867615,0 days 00:00:10.669020,0.35000000000000003,32,20,COMPLETE
71,0.44424840807914734,0 days 00:00:15.326814,0.4,16,16,COMPLETE
72,0.7291330099105835,0 days 00:00:05.395038,0.30000000000000004,16,16,COMPLETE
73,0.7523175477981567,0 days 00:00:04.652558,0.4,16,16,COMPLETE
74,0.4629569947719574,0 days 00:00:11.716332,0.5,32,16,COMPLETE
75,0.44547635316848755,0 days 00:00:07.944097,0.45,48,16,COMPLETE
76,0.47017475962638855,0 days 00:00:11.565163,0.35000000000000003,32,12,COMPLETE
77,0.44651153683662415,0 days 00:00:07.602351,0.45,64,16,COMPLETE
78,0.755013108253479,0 days 00:00:04.885441,0.4,16,12,COMPLETE
79,0.4489729702472687,0 days 00:00:08.647082,0.35000000000000003,48,20,COMPLETE
80,0.4156044125556946,0 days 00:00:09.373100,0.45,16,16,COMPLETE
81,0.4276600778102875,0 days 00:00:11.704137,0.45,16,16,COMPLETE
82,0.4190007746219635,0 days 00:00:12.452229,0.5,16,16,COMPLETE
83,0.42623233795166016,0 days 00:00:17.430072,0.5,16,16,COMPLETE
84,0.7811765670776367,0 days 00:00:05.434532,0.5,16,16,COMPLETE
85,0.47022774815559387,0 days 00:00:08.361750,0.5,32,16,COMPLETE
86,0.45207253098487854,0 days 00:00:16.761879,0.5,16,16,COMPLETE
87,0.4432467520236969,0 days 00:00:09.246065,0.5,32,16,COMPLETE
88,0.43689244985580444,0 days 00:00:20.815239,0.45,16,20,COMPLETE
89,0.4837877154350281,0 days 00:00:09.629321,0.45,160,16,COMPLETE
90,0.4401203393936157,0 days 00:00:15.167849,0.5,16,16,COMPLETE
91,0.7121620178222656,0 days 00:00:04.863877,0.45,16,16,COMPLETE
92,0.45191970467567444,0 days 00:00:11.259401,0.45,32,16,COMPLETE
93,0.45692986249923706,0 days 00:00:14.293280,0.5,16,16,COMPLETE
