number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
0,0.2072152942419052,0 days 00:00:13.071765,0.25,240,12,COMPLETE
1,0.24408704042434692,0 days 00:00:11.646807,0.05,32,24,COMPLETE
2,0.2124926894903183,0 days 00:00:14.518079,0.35000000000000003,112,16,COMPLETE
3,0.22379672527313232,0 days 00:00:13.760551,0.1,240,16,COMPLETE
4,0.21821200847625732,0 days 00:00:11.873291,0.1,160,8,COMPLETE
5,0.24806047976016998,0 days 00:00:11.021766,0.4,112,20,COMPLETE
6,0.2256077080965042,0 days 00:00:13.833165,0.15000000000000002,208,16,COMPLETE
7,0.21310847997665405,0 days 00:00:22.975264,0.05,48,4,COMPLETE
8,0.2181723564863205,0 days 00:00:18.582354,0.05,80,24,COMPLETE
9,0.22010555863380432,0 days 00:00:38.604062,0.35000000000000003,32,8,COMPLETE
10,0.2172922044992447,0 days 00:00:13.208446,0.5,256,8,COMPLETE
11,0.21229101717472076,0 days 00:00:12.918371,0.25,160,12,COMPLETE
12,0.2113407999277115,0 days 00:00:12.733991,0.25,176,12,COMPLETE
13,0.22211319208145142,0 days 00:00:15.427952,0.25,208,12,COMPLETE
14,0.20688240230083466,0 days 00:00:16.481960,0.2,208,12,COMPLETE
15,0.20398510992527008,0 days 00:00:14.768705,0.2,224,4,COMPLETE
16,0.216962531208992,0 days 00:00:11.110896,0.15000000000000002,208,4,COMPLETE
17,0.21451374888420105,0 days 00:00:13.532230,0.15000000000000002,192,4,COMPLETE
18,0.24259626865386963,0 days 00:00:11.228017,0.2,128,20,COMPLETE
19,0.21413704752922058,0 days 00:00:12.813230,0.35000000000000003,256,8,COMPLETE
20,0.2209881693124771,0 days 00:00:15.741006,0.30000000000000004,224,4,COMPLETE
21,0.23072917759418488,0 days 00:00:17.214704,0.2,224,12,COMPLETE
22,0.2579587996006012,0 days 00:00:07.498220,0.2,240,20,COMPLETE
23,0.2065366506576538,0 days 00:00:14.100230,0.45,176,8,COMPLETE
24,0.21567422151565552,0 days 00:00:11.674512,0.5,176,8,COMPLETE
25,0.20720119774341583,0 days 00:00:13.614165,0.45,144,8,COMPLETE
26,0.21400415897369385,0 days 00:00:13.998683,0.30000000000000004,192,4,COMPLETE
27,0.21078135073184967,0 days 00:00:18.345927,0.0,176,8,COMPLETE
28,0.2100437432527542,0 days 00:00:13.953215,0.30000000000000004,144,4,COMPLETE
