number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
0,0.5227476954460144,0 days 00:00:08.097125,0.45,96,12,COMPLETE
1,0.48580893874168396,0 days 00:00:07.431301,0.4,224,24,COMPLETE
2,0.5029324293136597,0 days 00:00:08.123072,0.5,208,16,COMPLETE
3,0.4801930785179138,0 days 00:00:07.507815,0.2,256,16,COMPLETE
4,0.47010281682014465,0 days 00:00:16.861247,0.30000000000000004,80,4,COMPLETE
5,0.526201069355011,0 days 00:00:08.642929,0.4,64,16,COMPLETE
6,0.5432568192481995,0 days 00:00:09.245383,0.25,192,20,COMPLETE
7,0.4500851333141327,0 days 00:00:08.893729,0.4,128,12,COMPLETE
8,0.4897555708885193,0 days 00:00:10.729729,0.2,128,20,COMPLETE
9,0.5516964793205261,0 days 00:00:07.947388,0.45,112,24,COMPLETE
10,0.42208132147789,0 days 00:00:09.301328,0.0,160,8,COMPLETE
11,0.43701648712158203,0 days 00:00:10.056580,0.0,160,8,COMPLETE
12,0.46369415521621704,0 days 00:00:09.002714,0.0,176,4,COMPLETE
13,0.4848109781742096,0 days 00:00:27.767375,0.0,16,8,COMPLETE
14,0.42643141746520996,0 days 00:00:09.066875,0.1,160,8,COMPLETE
15,0.4296395778656006,0 days 00:00:09.657215,0.1,160,8,COMPLETE
16,0.42368775606155396,0 days 00:00:10.589167,0.1,240,8,COMPLETE
17,0.47375866770744324,0 days 00:00:13.125110,0.05,256,4,COMPLETE
18,0.46428829431533813,0 days 00:00:08.624587,0.1,224,12,COMPLETE
19,0.4876062273979187,0 days 00:00:15.256577,0.15000000000000002,48,8,COMPLETE
20,0.4664821922779083,0 days 00:00:15.354029,0.05,240,4,COMPLETE
21,0.4331018030643463,0 days 00:00:09.023132,0.1,160,8,COMPLETE
22,0.4604678452014923,0 days 00:00:08.206771,0.15000000000000002,192,12,COMPLETE
23,0.4360012114048004,0 days 00:00:09.638782,0.05,192,8,COMPLETE
24,0.4585506319999695,0 days 00:00:13.097855,0.30000000000000004,144,4,COMPLETE
25,0.45331647992134094,0 days 00:00:10.036235,0.15000000000000002,224,12,COMPLETE
26,0.4555467665195465,0 days 00:00:15.770437,0.05,112,8,COMPLETE
27,0.43115177750587463,0 days 00:00:11.365224,0.2,144,8,COMPLETE
28,0.44894951581954956,0 days 00:00:08.485748,0.1,176,12,COMPLETE
29,0.4850200414657593,0 days 00:00:13.595941,0.0,96,4,COMPLETE
30,0.4649990200996399,0 days 00:00:09.456050,0.25,208,12,COMPLETE
31,0.4421018064022064,0 days 00:00:09.940157,0.1,160,8,COMPLETE
32,0.4283670485019684,0 days 00:00:09.953453,0.05,176,8,COMPLETE
33,0.42560240626335144,0 days 00:00:11.046658,0.05,208,8,COMPLETE
34,0.49227237701416016,0 days 00:00:11.293756,0.0,240,12,COMPLETE
35,0.454450398683548,0 days 00:00:13.091978,0.15000000000000002,208,4,COMPLETE
36,0.4833254814147949,0 days 00:00:07.556973,0.05,256,16,COMPLETE
37,0.43451860547065735,0 days 00:00:08.869671,0.1,240,8,COMPLETE
38,0.47463154792785645,0 days 00:00:11.120515,0.0,208,16,COMPLETE
39,0.4501050114631653,0 days 00:00:13.737054,0.25,224,4,COMPLETE
40,0.45223960280418396,0 days 00:00:09.416122,0.2,192,12,COMPLETE
41,0.4318731725215912,0 days 00:00:09.959364,0.05,176,8,COMPLETE
42,0.43066149950027466,0 days 00:00:10.651873,0.05,176,8,COMPLETE
43,0.4345725476741791,0 days 00:00:09.937055,0.0,144,8,COMPLETE
44,0.5270839929580688,0 days 00:00:08.532295,0.15000000000000002,128,20,COMPLETE
45,0.42946597933769226,0 days 00:00:08.457555,0.05,176,8,COMPLETE
