number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
0,0.29670172929763794,0 days 00:00:12.454246,0.15000000000000002,224,12,COMPLETE
1,0.2896433472633362,0 days 00:00:12.397227,0.30000000000000004,240,20,COMPLETE
2,0.29637032747268677,0 days 00:00:10.428185,0.5,176,20,COMPLETE
3,0.2814190089702606,0 days 00:00:16.447363,0.45,144,12,COMPLETE
4,0.29778197407722473,0 days 00:00:13.851265,0.5,208,12,COMPLETE
5,0.3106900155544281,0 days 00:00:13.234279,0.25,208,12,COMPLETE
6,0.30809247493743896,0 days 00:00:13.193518,0.05,208,8,COMPLETE
7,0.30942657589912415,0 days 00:00:26.704778,0.5,48,4,COMPLETE
8,0.2721950113773346,0 days 00:00:14.915504,0.5,208,20,COMPLETE
9,0.3627316951751709,0 days 00:00:10.089024,0.05,32,24,COMPLETE
10,0.3309955894947052,0 days 00:00:11.225723,0.35000000000000003,80,20,COMPLETE
11,0.31082022190093994,0 days 00:00:11.392980,0.4,128,16,COMPLETE
12,0.3191472291946411,0 days 00:00:09.784717,0.4,144,16,COMPLETE
13,0.3327573835849762,0 days 00:00:10.125888,0.4,112,24,COMPLETE
14,0.29404762387275696,0 days 00:00:14.655223,0.25,160,8,COMPLETE
15,0.33046308159828186,0 days 00:00:09.298628,0.45,256,16,COMPLETE
16,0.31582170724868774,0 days 00:00:13.235897,0.2,176,8,COMPLETE
17,0.3876613676548004,0 days 00:00:07.303428,0.35000000000000003,96,20,COMPLETE
18,0.3010226786136627,0 days 00:00:18.008865,0.45,176,4,COMPLETE
19,0.36837688088417053,0 days 00:00:13.665081,0.45,80,16,COMPLETE
20,0.2976323962211609,0 days 00:00:15.533025,0.15000000000000002,144,24,COMPLETE
21,0.29619100689888,0 days 00:00:13.454487,0.35000000000000003,240,20,COMPLETE
22,0.28063520789146423,0 days 00:00:12.752769,0.30000000000000004,256,20,COMPLETE
23,0.30737072229385376,0 days 00:00:13.324201,0.30000000000000004,256,12,COMPLETE
24,0.30722740292549133,0 days 00:00:09.911704,0.45,192,16,COMPLETE
25,0.3069254755973816,0 days 00:00:12.872357,0.0,224,24,COMPLETE
26,0.27212706208229065,0 days 00:00:14.409859,0.5,256,20,COMPLETE
27,0.2872956693172455,0 days 00:00:12.351926,0.5,256,20,COMPLETE
28,0.3002471327781677,0 days 00:00:10.653065,0.30000000000000004,240,24,COMPLETE
29,0.27256444096565247,0 days 00:00:13.728365,0.1,224,20,COMPLETE
30,0.30185943841934204,0 days 00:00:12.184806,0.1,224,20,COMPLETE
31,0.2965201139450073,0 days 00:00:12.574998,0.15000000000000002,240,20,COMPLETE
32,0.27579429745674133,0 days 00:00:15.115816,0.2,224,20,COMPLETE
33,0.3152983784675598,0 days 00:00:08.975690,0.2,192,16,COMPLETE
34,0.3037174940109253,0 days 00:00:12.623598,0.1,224,20,COMPLETE
35,0.30601683259010315,0 days 00:00:13.795367,0.2,192,24,COMPLETE
36,0.3111437261104584,0 days 00:00:12.318305,0.1,208,20,COMPLETE
37,0.3161751627922058,0 days 00:00:10.195701,0.25,224,16,COMPLETE
38,0.2963208854198456,0 days 00:00:14.991606,0.0,240,24,COMPLETE
39,0.27586087584495544,0 days 00:00:14.907419,0.05,208,20,COMPLETE
40,0.3288238048553467,0 days 00:00:12.214847,0.5,160,16,COMPLETE
41,0.33624157309532166,0 days 00:00:13.859402,0.05,208,20,COMPLETE
42,0.2705863118171692,0 days 00:00:11.840208,0.05,224,20,COMPLETE
43,0.30683180689811707,0 days 00:00:09.908688,0.1,240,20,COMPLETE
44,0.2958054840564728,0 days 00:00:11.972377,0.15000000000000002,224,24,COMPLETE
45,0.2915472984313965,0 days 00:00:12.647049,0.0,192,20,COMPLETE
46,0.3152231276035309,0 days 00:00:09.385252,0.05,256,16,COMPLETE
47,0.3382140100002289,0 days 00:00:15.528639,0.5,16,24,COMPLETE
48,0.2856793701648712,0 days 00:00:11.862065,0.15000000000000002,208,20,COMPLETE
49,0.3082173764705658,0 days 00:00:10.706308,0.25,224,12,COMPLETE
50,0.32314711809158325,0 days 00:00:09.175108,0.4,160,16,COMPLETE
51,0.2804725766181946,0 days 00:00:13.206886,0.05,208,20,COMPLETE
52,0.3017849326133728,0 days 00:00:12.592190,0.05,176,20,COMPLETE
53,0.2787661552429199,0 days 00:00:13.063560,0.1,240,20,COMPLETE
54,0.28702130913734436,0 days 00:00:13.093536,0.0,208,20,COMPLETE
55,0.3371826410293579,0 days 00:00:07.785668,0.05,192,16,COMPLETE
56,0.28361210227012634,0 days 00:00:14.540436,0.2,224,20,COMPLETE
57,0.26884233951568604,0 days 00:00:12.308694,0.1,256,24,COMPLETE
58,0.32291311025619507,0 days 00:00:12.834517,0.1,256,24,COMPLETE
59,0.29815539717674255,0 days 00:00:11.082371,0.15000000000000002,240,24,COMPLETE
60,0.30080369114875793,0 days 00:00:11.662813,0.45,256,24,COMPLETE
61,0.27272769808769226,0 days 00:00:11.844565,0.05,240,20,COMPLETE
62,0.31015732884407043,0 days 00:00:14.767263,0.1,240,20,COMPLETE
