number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
63,0.3116331696510315,0 days 00:00:10.400428,0.0,256,24,COMPLETE
64,0.28599345684051514,0 days 00:00:12.536627,0.5,240,20,COMPLETE
65,0.3236844837665558,0 days 00:00:09.140464,0.35000000000000003,224,16,COMPLETE
66,0.30714377760887146,0 days 00:00:17.359607,0.25,128,8,COMPLETE
67,0.3270883858203888,0 days 00:00:15.452085,0.05,64,24,COMPLETE
68,0.28987741470336914,0 days 00:00:10.998226,0.15000000000000002,256,20,COMPLETE
69,0.29881900548934937,0 days 00:00:13.763633,0.1,224,20,COMPLETE
70,0.31929031014442444,0 days 00:00:12.954791,0.45,240,16,COMPLETE
71,0.2909499406814575,0 days 00:00:12.189464,0.05,208,20,COMPLETE
72,0.319996178150177,0 days 00:00:11.865709,0.05,224,20,COMPLETE
73,0.2975868582725525,0 days 00:00:10.744648,0.0,176,20,COMPLETE
74,0.29047781229019165,0 days 00:00:12.950688,0.1,208,20,COMPLETE
75,0.29253101348876953,0 days 00:00:11.831825,0.05,240,24,COMPLETE
76,0.28647467494010925,0 days 00:00:12.106864,0.2,192,20,COMPLETE
77,0.29097306728363037,0 days 00:00:14.494502,0.0,256,20,COMPLETE
78,0.3020409345626831,0 days 00:00:12.626151,0.45,224,24,COMPLETE
79,0.3154212534427643,0 days 00:00:09.743531,0.15000000000000002,256,16,COMPLETE
80,0.27574673295021057,0 days 00:00:11.014249,0.1,240,20,COMPLETE
81,0.2930770814418793,0 days 00:00:11.543760,0.1,240,20,COMPLETE
82,0.29755812883377075,0 days 00:00:11.574995,0.05,224,20,COMPLETE
83,0.30346131324768066,0 days 00:00:12.546966,0.5,208,20,COMPLETE
84,0.29531294107437134,0 days 00:00:13.942366,0.1,240,20,COMPLETE
85,0.28740060329437256,0 days 00:00:12.256684,0.05,224,24,COMPLETE
86,0.2905155420303345,0 days 00:00:10.671572,0.30000000000000004,256,20,COMPLETE
87,0.30024924874305725,0 days 00:00:15.391101,0.1,240,20,COMPLETE
88,0.3014982342720032,0 days 00:00:09.954089,0.15000000000000002,224,16,COMPLETE
89,0.30491364002227783,0 days 00:00:18.433119,0.05,208,4,COMPLETE
90,0.28644564747810364,0 days 00:00:14.366330,0.2,256,12,COMPLETE
91,0.2891426980495453,0 days 00:00:12.234469,0.1,240,20,COMPLETE
92,0.30268728733062744,0 days 00:00:12.542658,0.1,240,20,COMPLETE
93,0.28266197443008423,0 days 00:00:12.242393,0.15000000000000002,240,20,COMPLETE
94,0.26744136214256287,0 days 00:00:12.457510,0.05,256,20,COMPLETE
95,0.3173571825027466,0 days 00:00:08.966760,0.05,256,16,COMPLETE
96,0.2907527685165405,0 days 00:00:13.516179,0.0,256,20,COMPLETE
97,0.3088180720806122,0 days 00:00:12.226357,0.4,96,24,COMPLETE
98,0.30090829730033875,0 days 00:00:14.515652,0.5,224,20,COMPLETE
99,0.29564884305000305,0 days 00:00:14.323211,0.05,192,20,COMPLETE
