shp,spei,model,dec,period,r2,mape,mae,rmse,mse
shp-1,spei-3,LSTM,EEMD,val,0.832590103,270.7627058,0.30258358,0.37936294,0.14391623
shp-1,spei-3,LSTM,None,test,0.25254333,125.9420872,0.6418786,0.8267266,0.6834769
shp-1,spei-3,LSTM,None,train,0.479880393,192.6103234,0.52427983,0.66955394,0.4483025
shp-1,spei-3,LSTM,None,val,0.251401544,466.6535378,0.63071513,0.80221134,0.643543
shp-1,spei-3,LSTM,VMD,test,0.718973607,130.6695104,0.40935385,0.50692356,0.2569715
shp-1,spei-3,LSTM,VMD,train,0.737726063,213.9561415,0.3773438,0.4754573,0.22605966
shp-1,spei-3,LSTM,VMD,val,0.694773465,240.6246901,0.41305792,0.5122423,0.2623922
shp-1,spei-3,RNN,EEMD,test,0.814459041,90.07758498,0.29974735,0.4118972,0.1696593
shp-1,spei-3,RNN,EEMD,train,0.896983191,118.4202075,0.22943336,0.2979806,0.08879245
shp-1,spei-3,RNN,EEMD,val,0.82654427,245.2758074,0.31146502,0.38615233,0.14911361
shp-1,spei-3,RNN,None,test,0.27567333,130.0295711,0.6501262,0.8138346,0.66232675
shp-1,spei-3,RNN,None,train,0.503406197,191.2258625,0.51931006,0.6542363,0.42802513
shp-1,spei-3,RNN,None,val,0.280422628,327.1099806,0.62452304,0.7865079,0.61859465
shp-1,spei-3,RNN,VMD,test,0.705670327,170.7592964,0.42596683,0.5187833,0.26913607
shp-1,spei-3,RNN,VMD,train,0.768334374,197.0331311,0.35515624,0.4468531,0.19967769
shp-1,spei-3,RNN,VMD,val,0.746641666,276.8597841,0.39030647,0.46669367,0.21780299
shp-1,spei-3,TCN,None,test,0.24141562,111.6856217,0.65049356,0.83285785,0.69365215
shp-1,spei-3,TCN,None,train,0.474159241,229.6515942,0.5296009,0.67322636,0.45323372
shp-1,spei-3,TCN,None,val,0.227281332,456.2502861,0.6203676,0.81503266,0.66427827
shp-1,spei-3,TCN,VMD,test,0.505316168,134.4110966,0.53976107,0.6725627,0.4523406
shp-1,spei-3,TCN,VMD,train,0.629236728,227.4324656,0.447244,0.56530434,0.319569
shp-1,spei-3,TCN,VMD,val,0.56246984,326.4850616,0.47855756,0.6132934,0.37612882
shp-1,spei-6,LSTM,EEMD,test,0.745069325,177.8627992,0.29714626,0.39069602,0.15264337
shp-1,spei-6,LSTM,EEMD,train,0.952110656,172.7553368,0.16721019,0.21578167,0.04656173
shp-1,spei-6,LSTM,EEMD,val,0.769363344,196.0293531,0.27007648,0.36219043,0.1311819
shp-1,spei-6,LSTM,None,test,0.373766959,98.00724387,0.4715848,0.6123446,0.3749659
shp-1,spei-6,LSTM,None,train,0.621981651,258.9426279,0.4619587,0.6062497,0.3675387
shp-1,spei-6,LSTM,None,val,0.261375129,291.4912701,0.50772166,0.6481638,0.42011628
shp-1,spei-6,LSTM,VMD,test,0.68057701,108.4920526,0.32010472,0.43733174,0.19125904
shp-1,spei-6,LSTM,VMD,train,0.837997973,158.4014893,0.30787858,0.39687642,0.1575109
shp-1,spei-6,LSTM,VMD,val,0.649972439,164.3091917,0.3242655,0.4461942,0.19908926
shp-1,spei-6,RNN,EEMD,test,0.85792622,91.64569974,0.20977528,0.29166538,0.085068695
shp-1,spei-6,RNN,EEMD,train,0.945646107,102.7955651,0.17153105,0.2298849,0.052847065
shp-1,spei-6,RNN,EEMD,val,0.801631168,144.1074967,0.24565932,0.3358996,0.112828545
shp-1,spei-6,RNN,None,test,0.452241838,148.2941747,0.4348196,0.57269365,0.327978
shp-1,spei-6,RNN,None,train,0.693445891,201.5200377,0.4150996,0.54594475,0.29805565
shp-1,spei-6,RNN,None,val,0.267443895,279.0418148,0.47580415,0.64549553,0.41666445
shp-1,spei-6,RNN,VMD,test,0.740982056,129.0788054,0.30566728,0.39381552,0.15509066
shp-1,spei-6,RNN,VMD,train,0.865713075,258.0080032,0.2758545,0.3613366,0.13056414
shp-1,spei-6,RNN,VMD,val,0.703783274,256.1583281,0.28743467,0.41046637,0.16848263
shp-1,spei-6,TCN,EEMD,test,0.642510682,184.3771935,0.37667122,0.46265733,0.2140518
shp-1,spei-6,TCN,EEMD,train,0.894113325,240.9269333,0.24359474,0.32086015,0.10295123
shp-1,spei-6,TCN,EEMD,val,0.736851245,120.4519033,0.28371993,0.38687748,0.14967418
shp-1,spei-6,TCN,None,test,0.262552798,115.6720638,0.5309189,0.66449755,0.44155696
shp-1,spei-6,TCN,None,train,0.6181373,326.7144918,0.47606677,0.6093246,0.37127647
shp-1,spei-6,TCN,None,val,0.24255687,270.9168196,0.5077074,0.6563686,0.43081972
shp-1,spei-6,TCN,VMD,test,0.640662968,116.4694309,0.36250925,0.46385142,0.21515815
shp-1,spei-6,TCN,VMD,train,0.783357307,124.1109729,0.34428036,0.45895186,0.21063681
shp-1,spei-6,TCN,VMD,val,0.613247335,198.8792062,0.35383457,0.46901792,0.21997781
shp-1,spei-9,LSTM,EEMD,test,0.933628201,42.98131764,0.13743317,0.16739506,0.028021106
shp-1,spei-9,LSTM,EEMD,train,0.970624078,80.94815016,0.13013615,0.17177509,0.029506681
shp-1,spei-9,LSTM,EEMD,val,0.83273302,76.33308768,0.2014287,0.2618721,0.06857701
shp-1,spei-9,LSTM,None,test,0.504755378,90.44961929,0.346485,0.4572574,0.20908433
shp-1,spei-9,LSTM,None,train,0.789241329,158.6416721,0.3349123,0.4601052,0.2116968
shp-1,spei-9,LSTM,None,val,0.409858644,111.1328721,0.36439887,0.4918834,0.24194929
shp-1,spei-9,LSTM,VMD,test,0.845773026,55.60624003,0.21469553,0.25517082,0.06511215
shp-1,spei-9,LSTM,VMD,train,0.921688274,96.51522636,0.20667994,0.28046444,0.07866031
shp-1,spei-9,LSTM,VMD,val,0.782757133,70.76584697,0.23303488,0.29843992,0.089066386
shp-1,spei-9,RNN,EEMD,test,0.942226756,31.12467825,0.12449803,0.15617597,0.024390936
shp-1,spei-9,RNN,EEMD,train,0.977491457,64.15789127,0.11732898,0.150362,0.022608733
shp-1,spei-9,RNN,EEMD,val,0.883024007,59.89373922,0.17031832,0.21899416,0.04795844
shp-1,spei-9,RNN,None,test,0.591803551,86.12120748,0.30803144,0.4151313,0.172334
shp-1,spei-9,RNN,None,train,0.806119546,158.3051085,0.3289358,0.44129747,0.19474345
shp-1,spei-9,RNN,None,val,0.477007926,107.3569655,0.34338433,0.46305406,0.21441907
shp-1,spei-9,RNN,VMD,test,0.86015065,50.61400533,0.19689386,0.2429859,0.059042152
shp-1,spei-9,RNN,VMD,train,0.909478158,122.6758122,0.22414544,0.30153733,0.09092477
shp-1,spei-9,RNN,VMD,val,0.812378675,67.21869707,0.22704272,0.27734813,0.07692199
shp-1,spei-9,TCN,EEMD,test,0.778905004,55.55068254,0.258092,0.30552047,0.09334276
shp-1,spei-9,TCN,EEMD,train,0.934725024,110.136652,0.17884377,0.25605768,0.065565534
shp-1,spei-9,TCN,EEMD,val,0.802256301,80.21463156,0.23893635,0.28473148,0.08107201
shp-1,spei-9,TCN,None,test,0.421219707,90.54686427,0.3683982,0.49431947,0.24435174
