DATE,real,pred
1993-04-30,-0.20401946,0.02219946
1993-05-31,-0.1762079,0.2638142
1993-06-30,-0.38145977,-0.038289625
1993-07-31,-0.4727806,0.022489808
1993-08-31,1.5705775,0.9741686
1993-09-30,-1.0234976,-0.70507854
1993-10-31,-0.40389216,-0.69098186
1993-11-30,1.1885647,0.6110869
1993-12-31,-0.6572786,-0.038982704
1994-01-31,-0.7758805,-0.31332546
1994-02-28,0.059644565,0.47111374
1994-03-31,0.27620193,0.5557102
1994-04-30,0.35313067,-0.024506867
1994-05-31,-1.12074,-0.3898365
1994-06-30,0.046921518,0.6025729
1994-07-31,1.9962033,1.3873959
1994-08-31,1.7450935,1.1404065
1994-09-30,-0.56441635,-0.070187256
1994-10-31,0.8746503,0.6801754
1994-11-30,-1.1631389,-0.57239676
1994-12-31,-0.20171739,-0.259999
1995-01-31,-0.7816644,0.04602114
1995-02-28,-0.51998067,0.5845542
1995-03-31,-0.1865039,-0.6868567
1995-04-30,-0.27293953,0.25038373
1995-05-31,-1.2072906,0.022156127
1995-06-30,-0.8011999,-0.7422047
1995-07-31,0.76931244,0.520076
1995-08-31,2.0522122,1.8259271
1995-09-30,-0.27836642,0.29349378
1995-10-31,-0.6322836,-0.025763512
1995-11-30,-0.5529108,-0.22756469
1995-12-31,-0.5538002,-0.025382496
1996-01-31,-0.17202768,0.08093352
1996-02-29,-0.5096559,0.2009809
1996-03-31,0.39952275,0.31692207
1996-04-30,0.8493677,0.7349447
1996-05-31,-0.36455697,0.5796876
1996-06-30,0.41151246,0.9378043
1996-07-31,1.3514421,1.0655919
1996-08-31,-0.0885412,-0.6921366
1996-09-30,-0.42400858,-0.4605822
1996-10-31,0.3975064,1.3610358
1996-11-30,0.85657936,0.29932606
1996-12-31,-0.6765351,-0.23485103
1997-01-31,-0.4320953,0.0077618957
1997-02-28,0.068343334,-0.44149947
1997-03-31,-0.26825976,-0.037509408
1997-04-30,0.51304793,0.70539457
1997-05-31,-0.777598,-0.57677764
1997-06-30,-1.5478753,-0.87531805
1997-07-31,0.69331414,0.23277324
1997-08-31,-0.7032284,-0.2072843
1997-09-30,0.31419304,-0.36146548
1997-10-31,-0.8976202,-0.5680234
1997-11-30,0.09242734,-0.36670232
1997-12-31,-0.51841503,-0.15202872
1998-01-31,-0.05620724,0.29720333
1998-02-28,-0.54926366,-0.31544805
1998-03-31,1.7607478,0.46758288
1998-04-30,1.4258702,0.18995294
1998-05-31,2.236933,0.14393505
1998-06-30,-0.6860935,-0.3493343
1998-07-31,0.5847777,0.17217466
1998-08-31,-1.1071578,-1.1504679
1998-09-30,-1.1437799,-0.29023832
1998-10-31,-0.7332854,-0.7436066
1998-11-30,-1.3267815,-0.73638815
1998-12-31,-0.5977712,-0.61475825
1999-01-31,-0.77566457,-0.52169883
1999-02-28,-0.8371164,-0.603224
1999-03-31,0.06883198,-0.21116793
1999-04-30,-0.5791531,-0.38710165
1999-05-31,0.5707935,-0.4204691
1999-06-30,-1.3203425,-0.8655201
1999-07-31,0.032862227,0.072808005
1999-08-31,-0.9778761,-0.78470176
1999-09-30,-0.8519144,0.27004868
1999-10-31,-0.7293001,0.04115539
1999-11-30,-0.54614586,0.10714299
1999-12-31,-0.41210902,-0.29536548
2000-01-31,0.52008855,0.15108144
2000-02-29,-0.32534322,-0.50836414
2000-03-31,-0.51740056,-0.14007163
2000-04-30,-0.20401604,-0.468035
2000-05-31,-1.7102927,-0.68272585
2000-06-30,0.021444941,-0.15757728
2000-07-31,-0.8615071,-0.37048972
2000-08-31,-1.0303112,-0.9088568
2000-09-30,-0.5764722,-0.1709347
2000-10-31,-0.0911503,0.0042531006
2000-11-30,-0.12559551,-0.08235752
2000-12-31,-0.4775659,0.38196227
2001-01-31,0.32715458,-0.09310648
2001-02-28,-0.39462647,-0.5579893
2001-03-31,-0.29436412,0.6174715
2001-04-30,2.015916,0.9040971
2001-05-31,-1.3443921,-0.93038553
2001-06-30,-0.5740341,-0.08805153
2001-07-31,0.5857176,0.7028039
2001-08-31,1.3699269,1.0478109
2001-09-30,2.2766094,1.483368
2001-10-31,0.29520544,0.559605
2001-11-30,-0.4789621,-0.46253633
2001-12-31,0.4619989,0.13345072
2002-01-31,-0.026207117,0.15316767
2002-02-28,-0.0826199,0.026584
2002-03-31,-0.71326727,-0.19522262
2002-04-30,1.0678816,0.40369928
2002-05-31,1.1036279,1.3828088
2002-06-30,1.7011245,1.9927255
2002-07-31,-0.71504897,-0.34887886
2002-08-31,-0.7208774,-0.3365212
2002-09-30,1.4705778,0.5690188
2002-10-31,-0.5530364,-0.07505183
2002-11-30,-0.68724144,0.32608458
2002-12-31,2.4754653,1.7075213
2003-01-31,-0.22370918,-0.2981342
2003-02-28,-0.50032425,-0.75656825
2003-03-31,-0.19852123,0.038885087
2003-04-30,0.9768394,0.89667565
2003-05-31,0.16662705,0.18707958
2003-06-30,0.54324025,1.3658143
2003-07-31,0.21698853,1.4055194
2003-08-31,0.29491904,0.44607762
2003-09-30,-0.21984725,-0.33728275
2003-10-31,0.023573356,0.24547246
2003-11-30,0.79408884,0.31862515
2003-12-31,-0.46015796,-0.49658233
2004-01-31,-0.56588846,-0.635742
2004-02-29,-0.1407652,-0.0066033565
2004-03-31,-0.85600185,-0.3354778
2004-04-30,-1.8220664,-0.89751494
2004-05-31,0.40779522,0.53012717
2004-06-30,0.34561205,0.60645396
2004-07-31,-0.45110923,-0.3626408
